(AWS)	Afrikaanse Woordelys en Spelreëls
(bvh)	Bosman, Van der Merwe en Hiemstra
(clc)	Coetzee, Du Plooy en Cluver
(cmdp)	Combrink, Meyer en Du Plooy
(sitting, standing) straight up	(sit, staan) penorent. penregop
(tbt)	Terblanche se Tegniese woordeboek
16-bit	16-bis
32-bit	32-bis
5-speed manual	5-spoed-hand (ratte)
a	'n
a capella choir	a capella-koor
a few, any, some	enige, enkele, sommige
a little, some, to some extend, rather, enough	nogal
a little, some, to some extend, rather, fairly	taamlik
a long time, for a long time	geruime tyd
a long time, for a long time	lank
a lot of, much, many, quite, very, very much	baie
a, any, anybody, some, somebody, someone	enigiemand, iemand
a, in, inside, into, per, within	binne, in
a, in, inside, into, per, within, by, by means of	per
a, in, inside, into, per, within, on, upon	op
a-bomb	a-bom
a-framed house	a-raamhuis
a4-size	a4-grootte
aardwolf	aardwolf
aaronic priesthood (authority)	aäronitiese priesterskap
aaronic priesthood (bearers of)	aäronitiese priesterorde
abacus	abakus
abalone	perlemoen
abalone shell	perlemoenskulp
abandon, forsake, desert, leave	verlaat
abandoned, nasty	immoreel
abase	verneder
abasement	verlaging
abashment, shame	skaamte
abate, abridge, decrease, lessen, diminish, drop	verminder
abatement, discount, rebate	afslag
abattoir, slaughterhouse	abattoir
abbess	abdis
abbey	abdy
abbeys	abdye
abbot	ab
abbots	abte
abbreviate	afkort
abbreviation	afkorting
abdicate	abdikeer
abdication	abdikasie
abduct	ontvoer
aberration, error, mistake	fout
abesses	abdisse
abessinia	abessinië
abessinian	abessinies. abessiniese
abessinian	abessiniër
abet, aid, assist, help, accomodate	help
abet, support, sustain	ondersteun
abetter, abettor, accessory, accomplice	handlanger
abide, bear, carry out, endure, put up with	staan, uithou
abide, expect, wait, await, wait for	verwag
abide, expect, wait, await, wait for	wag, wag vir
abiding, lasting, constant, continual, permanent	vas
abiding, lasting, constantly, continually	permanent
ability, guess, presume, suppose, surmise	vermoë
ability, qualification	kwalifikasie
abjure, abnegate	afsweer
abjure, abolish, abrogate, annul, cancel, remit	kanselleer
ablative	ablatief
able	geskoolde
ablution	ablusie
abnormal	abnormaal, abnormale
abnormality	abnormaliteit
abode, accommodation, dwelling, residence	woning
abolish	afskaf
abolition	afskaffing
abolition, abrogation	opsegging
aboriginal, domestic	binnelands
aboriginal, domestic, native	inheems
aboriginal, originally	oorspronklik
abort	aborteer
abortion	aborsie, abortus
abortionist	aborteur
abortive	abortief, abortiewe
abortive, useless, futile, vain	vrugteloos
about, approximately	omtrent, sowat
about, approximately, like this, so, that way	so
above	hierbo
above all, especially, chiefly, mainly	hoofsaaklik, veral
above ground	bogronds
above, above-mentioned	bogenoemd
above, over, on top, overhead, upstairs	bo
above-board, honest	eerlik
abridgement, abridgment, abstract, resumé	oorsig
abrogate	abrogeer
abrupt	abrup, abrupte
abscess	abses
abscond	weghardloop
absence	absensie, absentia
absence	afwesigheid
absent onself, depart, go away, leave, departure	vertrek
absent, absentee (a)	afwesig, afwesige
absentee (n)	die afwesige
absentees	afwesiges
absinthe	absint
absolutelly	absoluut
absolutely, actually, in fact, genuinly, indeed	sowaar
absolutely, definitely, without fail	beslis, definitief
absolutely, genuinly, indeed, really, truly	regtig
absolution	absolusie
absolution, pardon	vergifnis
absolutism	absolutisme
absolve	absolveer
absorbe	absorbeer
absorbent	absorbeermiddel
absorption	absorpsie
abstract (a)	abstrak
abstract (v)	abstraheer
abstraction	abstraksie
abstruse, mysterious	misterieus
absurd	absurd, absurde
absurd	sinneloos
absurdity	absurditeit
abundant	oorgenoeg
abundant (vegetation)	geil
abuse of office	ampsmisbruik, ampsmisdryf, ampsoortreding
Abyssinian	Abessiniër
acacia	akasia
academic (a)	akademies
academic (n)	academikus
academic (n)	akademikus
academic exercise(s)	akademies(e) oefening(e)
academic year	akademiejaar
academic, scholar, student	student
academics	academici
academics	akademikusse
academy	akademie
acatiosis	akariose
accelarator pedal	versneller(pedaal)
accelerate	akselereer
acceleration	akselerasie
accent	aksent
accent, accentuate, stress	beklemtoon
accentuate	aksentueer
accept	aanvaar
accept	aksepteer
accept, receive, take, take in	aanneem, aanvaar
accept, receive, take, take in, get, lay hold of	neem
acceptability	aanvaarbaarheid
acceptable	aanvaarbaar, aanvaarbare, aanneembare
acceptance	aanvaarding
acceptance of office	ampsaanvaarding
access (n.)	toegang (s.nw.)
accessible	toeganklik
accessory, secondary	sekondêr
accident	ongeluk
accidental	abuise
acclamation	akklamasie
acclimatisation	akklimatisasie
acclimatise	akklimatiseer, akklimatisering
accolade	akkolade
accommodate	akkommodeer, akkomodeer
accommodation	akkommodasie
accommodation, agreement, appointment, date	afspraak
accomodate, end, finish, terminate	eindig
accomplish, attain, reach	bereik
accomplish, attain, reach	presteer
accord (n)	akkoord
accord (v)	akkordeer
accordeon	akkordeon, pensklavier
according to plan	planmatig, planmatige
according to, along	volgens
account, record, report, scholary report	rapport
accountant	rekenmeester
accredit	akkrediteer
accreditatio	akkreditasie
acculturate	akkultureer
acculturation	akkulturasie
accumulate	akkumuleer
accumulation	akkumulasie
accumulator	akkumulator
accumulator, battery, storage battery	battery
accuracy	akkuraatheid
accurate	akkuraat, akkurate
accurate, precise, correct, exact, proper, right	juis
accusation	aantyging
accusations	aantyginge, aantygings
accusative	akkusatief, akkusatiewe
accuse	aankla, aanklaag
accustom, be in the habit of	gewoond wees
acetaldehyde	asetaldehied
acetic acid	asynsuur
ache, be painful, hurt	seer wees
achievement of outcomes	bereiking van uitkomstes
achievement(s)	prestasie(s)
achilles' heel	achilleshiel
achilles' tendon	hakskeensening
acid	suur
acid ratio	suurverhouding
acidic soil	suurgrond
acidity	asiditeit, suurheid
acne	aknee
acoustics	akoestiek
acquaintance, knowledge	kennis
acquire, attain, get, obtain	verwerf
acquire, attain, get, obtain, accomplish, reach	behaal
acquisition	aanwins
acrobat	akrobaat
acrobatic	akrobaties, akrobatiese
acrobats	akrobate
acronym	akroniem
acrophobia	akrofobie
acropolis	akropolis
act	optree
act as	ageer
act, action	daad
act, do, make, perform	doen, maak, pleeg
acting as	agerend, agerende
action	aksie
action committee	aksiekomitee
action, activity	aksie
actionable	aksionabel
actions	aksies
activate	aktiveer
activating	aktiverend, aktiverende
activation	aktivering
activator	aktiveerder, aktiveermiddel
active	aktief, aktiewe
activity	aktiwiteit
actor	akteur
actors	akteurs
actress	aktrise
actresses	aktrises
actual, real	effektief
actual, relevant	aktueel, aktuele
actuality	aktualiteit
actuarial	aktuarieel, aktuariële
actuaries	aktuarisse
actuary	actuarius
actuary	aktuaris, aktuarius
acupuncture	akupunksie, akupunktuur
acute	akute, akuut
acute	akuut (bv é)
ad, advertisement	advertensie
adam's apple	adamsappel,  komhalertjie
adapt	adapteer
adaptable	aanpasbaar, aanpasbare
adaptation	aanpassing
adaptation	adaptasie
adaptations	aanpassinge, aanpassings
adaptive	adaptief, adaptiewe
add	byvoeg,  toevoeg
addition	addisie
additional	addisioneel, addisionele
additional, another	nog 'n
additional, supplementary	aanvullend, aanvullende
address	adres
address	adresseer,  toespreek
address (n)	adres
address (v)	adresseer
address book	adresboek, adresboekie
addressee	geadresseerde
adequate	adekwaat
adhesion	adhesie
adhesive tape, sellotape	plakband
adjacent	aanliggend, aanliggende
adjacent, nearby, neighbouring	naburig
adjust, put right	verstel
adjutant	adjudant
administer the sacrament	inseën van nagmaal, die nagmaal bedien
administrate	administreer
administration	administrasie
administration costs	administrasiekoste
administration, management	administrasie
administration, management	beheer
administration, management	kontrole
administrative	administratief
administrative law	administratiefreg
administrative offices	administrasiekantoor
administrator	administrateur (m), administratrise (f)
admiralty	admiraliteit
admiration	admirasie
admire	bewonder
admission	admissie
admit, confess, profess	bieg
ado, din, noise	ophef
ado, din, noise, riot, tumult	lawaai
adolescence	adolessensie
adolescent	adolessent
Adonis	Adonis
adopted child, adoptee	aannemeling
adoption	aanneme, aanneming
adoption	adopsie
adoptive	adoptief, adoptiewe
adoration	adorasie
adore	adoreer
adornment, decoration, ornament	sieraad
adrenalin	adrenalien, adrenaline
adriatic	adriatiese
Adriatic, Adriatic Sea	Adriatiese See
adulation	adulasie
adult, full-grown	volwasse
adulterate	adultereer
adultery	egbreuk
advance and retard capsule	vervroeg- en vertraagkapsule
advance in the priesthood	vorder in the priesterskap
advance, approach, come close, come closer	naderkom
advancement	vordering
advantage	aanwins
advantage, benefit	voordeel
advantageous, favourable	gunsteling-
adventist	adventis
adventurer	avonturier
adventurous	avontuurlik
adverb	bywoord
adverbial	bywoordelik
adversary	teenstander
advertise	adverteer
advertise, announce, give notice	adverteer
advertise, announce, give notice, report	meld
advertisement, advert, ad	advertensie
advertiser	adverteerder
advertising agency	advertensieburo
advertising campaign	advertensieveldtog
advice	advies
advice, counsel	raad
advise	adviseer
advise, counsel	aanraai
advisor	adviseur
advisory	adviserend, adviserende
advisory body	adviesliggaam
advisory capacity	adviesfunksie
advisory committee	advieskomitee
advocate, barrister	advokaat
advocate, lawyer	advokaat
Aegean Sea	Egeïese See
aerate	ontgas
aerial (automotive)	antenne
aerial (automotive)	lugdraad
affable, friendly, good-natured, kind	vriendelik
affair	affêre
affair, business, business deal, case, matter	ding
affair, business, business deal, case, matter	saak
affect (v)	affekteer
affect, call at, cause, give rise to	aandoen
affect, influence	beïnvloed
affectation	affektasie
affection, emotion	aandoening
affection, emotion	emosie
affidavit	affidavit
affiliate	affilieer
affiliation	affiliasie
affinity	affiniteit
affirmative	affirmatief, affirmatiewe
affix, join, glue	aanheg
affront (n)	affront
affront (v)	affronteer
Afghan	Afghaan
Afghanistan	Afghanistan
afraid	bang
afraid	beangs
Africa	Afrika
african horned toad	platanna
african languages	afrikatale
african policy	afrikabeleid
african unity	afrika-eenheid
African, Afrikaans, Afrikaans language	Afrikaans
africanisation	afrikanisering
africanise	afrikaniseer
africanist	afrikanis
