a	een
a, in, into, inside, within, through, per	per
a.m.	in de morgen
a.m.	voor de middag
aalii	kleverige dodonea
aardvark	aardvarken
Aaron	Aäron
aback, backwards, retrograde	achterwaarts
abacus	abacus
abacus	telraam
abaft	op de achtersteven
abalone, haliotis	haliotis
abandon	afleggen
abandon	prijsgeven
abandon, lose, say, renounce, tell	opgeven
abandoned	onzedelijk
abandonedly, abandoned	immoreel
abandonment	cessie
abandonment	concessie
abandonment	toegeving
abase	kleinmaken
abase	vernederen
abase	verootmoedigen
abasement	vernedering
abasement	verootmoediging
abash	beschaamd maken
abash	beschamen
abashment, embarrassment, perplexity	knelpunt
abashment, perplexity, embarrassment	penarie
abatable	verminderbaar
abate, subside	bedaren
abatement, diminution	afname
abattoir, slaughterhouse	slachterij
abbacy	jurisdictie van een abt
abbatial	op een abt betrekking hebbend
abbess	abdis
abbey	abdij
abbot	abt
abbreviate, lessen, shorten	inkorten
abdicate, resign, lay	neerleggen
abdicate, resign, quit, thank	bedanken
abdication	ontslagname
abdication	ontslagneming
abdomen	achterlijf
abdomen	onderlijf
abdominal	onderbuik-
abduct	ontvoeren
abduction	ontvoering
abductor	abductor
abductor	afvoerder
abeam	dwarsscheeps
abed	op bed
abele	abeel
abele	witte abeel
abele	zilverpopulier
aberrant	afdwalend
aberrant	afwijkend
aberration	aberratie
aberration, aberrance, abnormality	afwijking
abet, incite, agitate	agiteren
abet, incite, agitate	opstoken
abetment	medeplichtigheid
abetter, abettor, accomplice	medeplichtige
abettor, accomplice, abetter	mededader
abhorrant, nauseous, disgusting	misselijk
abhorrant, nauseous, disgusting	stuitend
abiding, lasting	blijvend
ability	bekwaamheid
ability	kundigheid
abiogenesis	abiogenesis
abject	verachtelijk
abject, worthless	nietswaardig
abjection	verachtelijkheid
abjuration	afzwering
abjure	afzweren
Abkhazia	Abchazië
Abkhazian	Abchazisch
ablative	ablatief
ablaze, ardent	verterend
able, capable	kundig
able-bodied	gezond van lijf en leden
abloom	bloeiend
abloom	fleurig
ablution	wassing
abnegate	abnegeren
abnegate	zichzelf verloochenen
abnegation	abnegatie
abnegation	versterving
abnormal	abnormaal
abnormality	abnormaliteit
aboard	aan boord
abode, dwelling-place	woonplaats
abolish, abrogate, remove	afschaffen
abolition, abrogation	afschaffing
abolitionism	anti-slavernijbeweging
abolitionist	tegenstander van slavernij
abominable, dreadful, alien, terrible, gruesome	ijselijk
abominate, loathe, abhor	een afschuw hebben van
abomination, abhorrence, horror, atrocity	verschrikking
aboriginal	inboorling
aborigine	aboriginal
aborigine	Australische inboorling
abort, miscarry	mislukken
abortion	abortus
abortion	abortus provocatus
abortionist	aborteur
abortive	mislukt
abound	in overvloed aanwezig zijn
about	circulerend
about	in omloop
about-face	omkeer
about-face	verandering
about-face	verzetting
above	benoorden
above	ten noorden van
above-mentioned	bovengenoemd
abracadabra	wartaal
abrade	afschaven
abrade	schaven
Abraham	Abraham
abrasion	afschaving
abrasive, sharp, lurid	doordringend
abrasive, sharp, lurid	guur
abreact	afreageren
abreast	naast elkaar
abridge, restrict, limit, confine	beperken
abridgement, abbreviation, abridgment	afkorting
abridgement, abridgment	verkorting
abroad	in het buitenland
abrupt	bruusk
abrupt, abruptly	abrupt
abruptly	botweg
abruptly, abrupt	kortaf
abscess	abces
abscess	etterbuil
abscess	ettergezwel
abscissa	abscis
abscond	drossen
abscond	weglopen
abscond	wegrennen
