-a	egy
aback	hátra
aback	vissza(felé)
abacus	számológép
abaft	a hajó fara felé
abandon	fesztelen viselkedés
abandon	elhagy
abandon	felad
abandon	letesz (vmrôl)
abandon	oneself to sg átadja magát vmnek
abandoned	elhagyatott
abandonment	átengedés
abandonment	elhagyás
abandonment	lemondás
abase	megaláz
abase	lealacsonyít
abasement	megalázás
abasement	lealacsonyítás
abash	megszégyenít
abash	zavarba hoz
abashed	zavarban van
abate	csökkent
abate	mérsékel
abate	enyhít
abate	véget vet
abate	hatálytalanít
abate	enyhül
abate	csökken
abate	alábbhagy
abatement	csökkentés
abatement	leszállítás
abatement	csökkenésr
abattoir	vágóhíd
abbe	Abbé
abbey	apátság
abbey	kolostor
abbot	apát
abbreviate	rövidít
abbreviation	rövidítés
abc	betûrend
abc	ábécé
abdicate	lemond
abdicate	leköszön
abdicate	felad
abdication	lemondás
abdication	feladás
abdomen	has
abdomen	potroh
abdominal	hasi
abdominal	hasüregi
abduct	erôszakkal megszöktet
abduct	elrabol (embert)
abduction	emberrablás
abed	ágyban
aberration	eltérés
aberration	tévelygés
aberration	aberráció
abet	felbújt
abet	elôsegít (bûnös tettet)
abetment	bûnpártolás
abetment	in crime~ bûnrészesség
abetter	bûnrészes
abetting	felbujtó
abettor	bûnsegéd
abeyance	in~ függôben
abhor	utál
abhor	gyûlöl
abhor	irtózik
abhor	iszonyodik
abhorrence	undor
abhorrence	utálat
abhorrent	elrémítô
abhorrent	iszonyatos
abide	tartózkodik
abide	lakik
abide	marad
abide	eltûr
abide	elvisel
abiding	maradandó
ability	képesség
ability	tehetség
abject	nyomorult
abject	alávaló
abjection	megalázottság
abjection	alávalóság
abjectly	nyomorúságosan
abjectly	aljasul
abjuration	tagadás
abjuration	lemondás
abjure	tagad
abjure	lemond
ablaze	izgatott
ablaze	lángban áll
able	képes
able	alkalmas
able	ügyes
able	tehetséges
able	rátermett
ablution	mosdás
ablution	kézmosás
abnegation	megtagadás
abnegation	lemondás
abnormal	abnormális
abnormal	rendellenes
abnormal	szabálytalan
abnormality	rendellenesség
aboard	hajón
aboard	repülôn
abode	lakóhely
abode	tartózkodási hely
abolish	eltöröl
abolish	megszüntet
abolition	eltörlés
abominable	utálatos
abominable	undorító
abominable	förtelmes
abominate	utál
abominate	gyûlöl
abominate	undorodik
abomination	utálat
abomination	undor
aboriginal	ôsi
aboriginal	eredeti
aboriginal	ôslakó
aborigines	ôslakók
aborigines	bennszülöttek
abort	elvetél
abort	semmissé tesz
abortion	vetélés
abortion	torzszülött
abortion	kudarc
abortive	sikertelen
abortive	meddô
abound	bôvelkedik
abound	hemzseg
about	mindenféle
about	közelben
about	körülbelül
about	megközelítôleg
about	közel
about	táján
about	készül vmt tenni
about	-ról, -rôl
about	felôl
about	után
about	miatt
about	körül
about	-nál, -nél
above	fenti
above	felett
above	felül
above	fentebb
above	fölé
above-board	ôszinte
above-mentioned	fent említett
abracadabra	Abrakadabra
abrade	ledörzsöl
abrade	lehorzsol
abrasion	horzsolás
abrasion	lekopás
abrasive	érdes
abrasive	rámenôs
abrasive	csiszolóanyag
abreact	lereagál
abreast	párhuzamosan
abreast	egymás mellett
abridge	rövidít
abridge	lerövidít
abridged	edition~ rövidített kiadás
abridgement	rövidítés
abridgement	kivonat
abridgement	korlátozás
abroad	külföldön
abroad	széltében-hosszában
abroad	be all~ zavarban van
abrogate	megszüntet
abrogate	eltöröl
abrogate	hatályon kívül helyez
abrogated	aufgehoben
abrogation	eltörlés
abrogation	visszavonás
abrupt	hirtelen
abrupt	váratlan
abrupt	összefüggéstelen
abrupt	kapkodó
abrupt	meredek
abruptly	hirtelenül
abscess	tályog
abscond	megszökik
abscond	elbújik
abscond	elrejtôzik
absence	távollét
absence	hiányzás
absent	távollévô
absent	hiányzó
absentee	rendszeresen távol maradó
absenteeism	rendszeres távolmaradás
absenteeism	lógás
absent-minded	szórakozott
absent-mindedness	szórakozottság
absolute	abszolút
absolute	teljes
absolute	feltétlen
absolute	végérvényes
absolutely	teljesen
absolutely	feltétlenül
absolutely	abszolúte
absolution	felmentés
absolution	feloldozás
absolutism	önkényuralom
absolve	felment
absolve	feloldoz
absorb	elnyel
absorb	felszív
absorbed	elmerül
absorbed	elmélyed
absorbed	teljesen leköti vmi
absorbent	felszívó
absorbent	abszorbens
absorbient	hangelnyelô
absorbing	elnyelô
abstain	tartózkodik
abstainer	antialkoholista
abstemious	mértékletes
abstemiously	mértékletesen
abstention	tartózkodás
abstinence	tartózkodás
abstinence	önmegtartóztatás
abstinent	önmegtartóztató
abstract	elvont
abstract	eltulajdonít
abstracted	elvonatkoztatott
abstracted	szórakozott
abstraction	elvonás
abstraction	elvontság
abstraction	szórakozottság
abstruse	homályos
abstruse	nehezen érthetô
absurd	abszurd
absurd	képtelen
absurd	nevetséges
absurdity	képtelenség
absurdity	abszurdum
abundance	bôség
abundance	sokaság
abundance	jólét
abundant	kiadós
abundant	bôséges
abuse	visszaélés
abuse	túlkapás
abuse	rongálás
abuse	gyalázkodás
abuse	mocskolódás
abuse	visszaél
abuse	sérteget
abusive	gyalázkodó
abusive	sértegetô
abusive	gorombáskodik
abut	határos
abut	felfekszik
abutment	illesztés
abysmal	feneketlen
abysmal	mélységes
abyss	szakadék
abyss	végtelen mélység/idô
ac	folyószámla
acacia	akác
academic	akadémiai
academic	tudományos
academical	fôiskolai
academy	akadémia
accede	beleegyezik
accede	hozzájárul
accede	teljesít
accelerate	siettet
accelerate	gyorsít
accelerate	gyorsul
acceleration	gyorsulás
accelerator	gyorsító
accelerator	gázpedál
accent	hangsúly
accent	ékezet
accent	kiejtésmód
accent	hangsúlyoz
accent	akcentus
accentuate	kihangsúlyoz
accentuation	kihangsúlyozás
accept	elfogad
acceptable	elfogadható
acceptable	kellemes
acceptable	szívesen látott
acceptance	elfogadás
acceptance	árü átvétele
acceptance	beleegyezés
access	belépés
access	hozzáférhetôség
access	dühroham
accessibility	hozzáférhetôség
accessibility	megközelíthetôség
accessible	hozzáférhetô
accessible	elérhetô
accession	növedék
accessories	kellékek
accessories	tartozék
accessories	alkatrészek
accessories	felszerelés
accessories	hozzávalók
accessory	mellékes
accessory	bûnrészes
accessory	bûntárs
accident	véletlen
accident	baleset
accidental	véletlen
accidental	esetleges
accidentally	véletlenül
accidentally	akaratlanul
accidentally	történetesen
acclaim	helyesel
acclaim	kikiált
acclamation	helyeslés
acclamation	éljenzés
acclimatization	akklimatizálás
acclimatization	meghonosítás
acclimatization	hozzászoktatás
acclimatize	akklimatizál
acclimatize	meghonosít
acclimatize	megszoktat
acclivity	emelkedô
accolade	elismerés
accommodate	hozzáalkalmaz
accommodate	elszállásol
accommodate	elhelyez
accommodates	kiegyenlít
accommodating	alkalmazkodó
accommodation	alkalmazkodás
accommodations	szállás
accommodations	szívesség
accompanied	
accompaniment	kiséret
accompaniment	kisérô jelenség
accompanist	kisérô
accompany	kisér
accompany	velejárója
accomplice	bûnrészes
accomplice	cinkostárs
accomplice	bûntárs
accomplish	bevégez
accomplish	befejez
accomplish	megvalósít
accomplish	végrehajt
accomplish	teljesít
accomplished	kész
accomplished	vmûvelt
accomplished	jártas
accomplishment	teljesítés
accomplishment	képesség
accomplishment	teljesítmény
accord	egyetértés
accord	megegyezés
accordance	egyetértés
accordance	egyezés
according	amennyiben
according	szerint
accordingly	eszerint
accordingly	következésképpen
accordion	harmónika
accost	megszólít
account	számla
account	elszámolás
account	jelentés
account	haszon
account	fontosság
accountable	felelôs
accountancy	könyvelés
accountancy	könyvvitel
accountant	könyvelô
accountant	könyvvizsgáló
accounting	könyvelés
accounting	könyvvitel
accredit	akkreditál
accredited	meghatalmazott
accrue	növekszik
accrue	felszaporodik
accrued	felszaporodott
accumulate	felhalmoz
accumulate	gyûjt
accumulate	felhalmozódik
accumulation	felhalmozás
accumulation	összegyûjtés
accumulator	akkumulátor
accuracy	pontosság
accuracy	szabatosság
accuracy	hitelesség
accurate	pontos
accurately	pontosan
accursed	átkozott
accusation	vád
accuse	vádol
accused	vádolják
accuser	vádló
accusing	vádoló
accustom	hozzászoktat
accustomed	megszokott
ace	ász
ace	kiválóság
acerbity	csípôsség
acerbity	fanyarság
acetate	acetát
acetone	aceton
ache	fájdalom
ache	fáj
achieve	véghezvisz
achieve	megvalósít
achieve	elér
achievement	teljesítés
achievement	tett
achievement	eredmény
aching	fájó
acid	savas
acid	savanyú
acid	sav
acknowledge	elismer
acknowledge	beismer
acknowledge	méltányol
acknowledge	elismer
acknowledge	nyugtáz
acknowledged	elismert
acknowledgement	elismerés
acknowledgement	beismerés
acknowledgement	elismervény
acme	tetôpont
acne	pattanás
acolyte	ministráns
acorn	makk
acoustic	akusztikai
acoustics	akusztika
acquaint	megismertet
acquaint	tudat
acquaint	értesít
acquaintance	ismerettség
acquaintance	ismerôs
acquaintance	tudás
acquaintanceship	ismerettségi kör
acquiesce	beleegyezik
acquiesce	beletörôdik
acquiesce	belenyugszik
acquire	megszerez
acquisition	megszerzés
acquisition	beszerzés
acquisitive	kapzsi
acquit	mentesít
acquit	felment
acquit	kiegyenlít
acquittal	felmentés
acquittal	teljesítés
acquittance	kifizetés
acquittance	kiegyenlítés
acre	négyszögyard
acrid	fanyar
acrid	keserû
acrobat	akrobata
acronym	mozaikszó
across	át
across	keresztül
across	keresztben
across	odaát
across	túl
act	tett
act	cselekedet
act	törvény
act	felvonás
act	cselekszik
act	játszik
acting	helyettes
acting	színjátszás
action	tett
action	cselekvés
action	hatás
action	cselekmény
action	per
action	ütközet
action	szerkezet
activate	aktivál
active	aktív
active	tevékeny
active	hatékony
activist	aktivista
activity	tevékenység
activity	elfoglaltság
actor	színész
actress	színésznô
actual	valóságos
actual	tényleges
actual	jelenlegi
actuality	valóság
actuality	aktualitás
actually	valójában
actually	tulajdonképpen
actuate	mozgásba hoz
actuate	hatással van
actuate	hajt
actuate	visz
acumen	eszesség
acute	hegyes
acute	éles
acute	heveny
ad	apróhirdetés
adage	közmondás
adamant	gyémántkeménységû
adapt	átalakít
adaptability	alkalmazhatóság
adaptation	alkalmazás
adaptation	alkalmazkodás
adaptation	átdolgozás
adapter	átdolgozó
adapter	tartó
adapter	betét
adapter	adapter
add	összead
add	hozzáad
add	hozzátesz
addenda	függelék
addendum	kiegészítés
addendum	pótlás
adder	vipera
addict	vmlyen szenvedély rabja
addiction	káros szenvedélynek hódolás
addition	hozzáadás
addition	toldás
addition	toldalék
additional	pótlólagos
additional	további
additionally	továbbá
additive	adalékanyag
address	cím
address	ügyesség
address	elôadás
address	viselkedés
address	címzés
addressee	címzett
adept	hozzáértô
adept	szakértô
adequacy	megfelelés
adequacy	alkalmasság
adequate	megfelelô
adequate	kielégítô
adhere	ragad
adhere	tagaszkodik
adherence	tapadás
adherence	ragaszkodás
adherent	támogató
adhesion	tapadás
adhesion	összenövés
adhesion	támogatás
adhesive	ragadós
adhesive	ragasztó
adjacent	szomszédos
adjacent	határos
adjacent	közeli
adjective	melléknév
adjoin	határos
adjoin	csatlakozik
adjoining	szomszédos
adjourn	elnapol
adjourn	berekeszt
adjudge	odaitél
adjudge	kimond
adjudicate	határozatot hoz
adjudicate	megítél
adjudication	ítélet
adjudicator	döntôbíró
adjunct	járulék
adjunct	segéd
adjunct	bôvítmény (nyelvtani)
adjure	kér
adjust	elintéz
adjust	elintéz
adjust	hozzáigazít
adjust	beállít
adjust	beszabályoz
adjustable	állítható
adjustable	beigazítható
adjusting	állító
adjustment	elintézés
adjustment	kiegyenlítés
adjustment	beigazítás
adjustment	beszabályozás
administer	kormányoz
administer	igazgat
administer	adminisztrál
administration	ügyintézés
administrative	közigazgatási
administrator	ügyintézô
administrator	gyám
admirable	csodálatra méltó
admirable	nagyszerû
admiral	tengernagy
admiration	csodálat
admire	bámul
admire	csodál
admirer	csodáló
admirer	hódoló
admissible	elfogadható
admission	belépés
admission	bebocsátás
admission	beismerés
admission	elismerés
admit	beenged
admit	felvesz
admit	megenged
admit	eltûr
admittance	bemenet
admittance	beengedés
admittance	bebocsátás
admittedly	kétségkívül
admonish	figyelmeztet
admonish	megdorgál
admonition	figyelmeztetés
adolescence	serdülôkor
adolescent	serdülô
adolescent	kamasz
adopt	örökbefogad
adopt	elfogad
adopt	alkalmaz
adopted	örökbefogadott
adoption	örökbefogadás
adorable	imádnivaló
adore	imád
adore	rajong
adorn	ékesít
adroit	ügyes
adulate	hízeleg
adult	felnôtt
adulterate	hamisít
adulteration	hamisítás
adulterer	házasságtörô férfi
adulteress	házasságtörô nô
adulterous	házasságtörô
adultery	házasságtörés
adumbrate	vázol
adumbrate	sejtet
advance	haladás
advance	javulás
advance	elôleg
advance	elôzetes
advance	elôsegít
advanced	haladó
advanced	elôrehaladott
advanced	progresszív
advancement	fejlôdés
advantage	elôny
advantage	nyereség
advantage	haszon
advantageous	elônyös
advantageous	hasznos
advent	Advent
adventure	kaland
adventurer	kalandor
adventurous	kalandos
adverb	határozószó
adverbial	határozói
adversary	ellenfél
adverse	ellenséges
adverse	ellentétes
adverse	ártalmas
advertise	hirdet
advertise	reklámoz
advertisement	hirdetés
advertisement	reklám
advertiser	hirdetô
advertising	hirdetés
advertising	Werbung
advice	tanács
advice	értesítés
advisable	ajánlatos
advise	tanácsol
adviser	tanácsadó
advisor	tanácsadó
advisory	kuratórium
advocate	szószóló
advocate	védelmezô
advocate	támogat
aerate	szellôztet
aeration	szellôztetés
aerial	légi
aerial	légiesi
aerodrome	repülôtér
aerodynamic	aerodinamikus
aerodynamics	aerodinamika
aeronaut	pilota
aeroplane	repülôgép
aesthetic	esztétikus
affable	nyájas
affable	elôzékeny
affair	ügy
affair	eset
affair	viszony
affect	hatással van
affect	befolyásol
affect	megtámad
affect	tettet
affect	színlel
affectation	színlelés
affectation	szenvelgés
affected	mesterkélt
affected	érzelgôs
affected	érintett
affected	hajlamú
affection	szeretet
affection	vonzalom
affectionate	szeretô
affectionate	gyengéd
affidavit	eskü alatt tett írásbeli nyilatkozat
affiliate	egyesít
affiliate	beolvad
affiliate	csatlakozik
affiliation	csatlakozás
affiliation	beolvasztás
affiliation	kapcsolat
affinity	rokonság
affinity	vonzódás
affirm	megerôsít
affirm	helybenhagy
affirm	állít
affirmation	állítás
