 summons, call	citatio
1/10 of a legion	cohors
1500th	sesquimellesimus
4 or 5 years	aera
4 or 5 years	era
a	A
a	unus
a bad smell	foetor
a bad smell, a stink	foetor
a banquet, feast	epulum
a banquet, feast / food / dishes	epulae
a barker (such as a dog)	latrator
a bath	lauvabrum
a beam of wood	traba
a beam of wood, a timber /tree-trunk, ship	traba
a bean, pea, legume	legumen
a beating	verbera
a beginning, undertaking, initiative	orsus
a bending, swaying	inflexio
a bit	aliquantulus
a bit of money	peculium
a bit of money, a small property	peculium
a biting, bite, also, sting, pain	morsus
a bitter weed, vetch	ervum
a blacksmith	ferrarius
a blow, stroke, wound, buffet	plaga
a bone	os
a boundary mark, limit, end, border	terminus
a breaking / fragments, remains, ruins	fragmen
a breaking /infractio aninimi dejection	infractio
a bringing forward	prolatio
a bullet	plumbum
a bundle, packet	facis
a burden	ingravesco
a bushel basket	modio
a buying, a purchase	emptio
a cake	laganum
a certain (one, thing, someone)	quendam
a certain person	quaedam
a certain person	quedam
a certain person	quidam
a certain person or thing / a kind of	quidam quaedam quedam quidam
a certain thing	quaedam
a charge in court	querimonia
a charge, manoeuver	decursio
a church	basilica
a church with the land around it	fanum
a citizen of the lowest rank	proletarius
a clam	peloris
a clarification	declaratio
a clean sweep	everriculum
a colewort (plant)	eruca
a coming	adventum
a coming	ventio
a contest, contention	decertatio
a cough	tussis
a country other than Greece or Rome	barbaria
a cow with calf	forda
a coward	ignavus
a crash, crack	fragor
a crowd of attendants	stipatio
a crowd of attendants, a following	stipatio
a crystal, crystal drinking cup	crystalus
a cubit	cubitum
a cubit long	cubitalis
a cypress-wood casket	cupressus
a dark garment	pullus
a dart	runa
a demand, request, desire /complaint	postulatio
a depth, abyss, chasm /the sea	profundum
a design, purpose, scheme, theme of discourse	propositum
a destroyer	eversor
a digger, ditcher, sapper / fool, boor, clown	fossor
A disease where the body is curved backward	opisthotonos
a disgrace	turpe
a dish	patina
a diver	urinor
a door, opening, entrance	foris
a doze	intervigilium
a dragging, drawing, pulling /territory, tract	tractus
a dream	quies
a dream, fancy /foolish nonesense	somnium
a drop	stilla
a drop (of liquid)	stilla
a dwarf	pumilius  pumilio
a dying	mortalitas
a falling /occasion, opportunity /event, accident	casus
a fermented fish sauce	garum
a festival of mysteries, orgy	orgia
a few	pauci
a fiftieth part	quinquagesimus
a fine	damnum
a fishing net, seine / a clean sweep	everriculum
a flogging	verberantia
a flowing over, flood, innundation	eluvies
a following	stipatio
a fool	stultus
a fool parted from his money	decoctor
a force	vis
a forge, large hearth	caminus
a fork, pitchfork /narrow pass	furca
a form	instar
a form, figure, after the fashion of, like	instar
a former	formator
a former, fashioner, maker	formator
a gang of	latrocinium
a gathering together	coadunatio
a gathering together, a summing up, a uniting	coadunatio
a goblet with handles	carchesium
a god	caelestis
a going back, retreat /place of retreat	recessus
a good deal	aliquantum
a grain measure	modio
a grain measure, a bushel basket	modio
a great number	plerusque
a green twig, rod, stick, wand, broom, streak	virga
a greenish-yellow color	galbinus
a growing up, increase, crop, yield, or issue	proventus
a hairband	comptus
a handle	ansa
a harp	citara
a head-dress	comptus
a head-dress, a hairband	comptus
a heap	acervus
a heap, mass	acervus
a herd	pecus
a holding fast	tenor
a hole	lacuna
a hole, empty space /pond, pool /deficiency	lacuna
a hollow	cavum
a hollow	lacus
a hollow /lake, pool, pond, troough, tank, tub	lacus
a holy place	fanum
a joining	iunctura
a joining, joint /rekationship, combination	iunctura
a journey	viaticus
a killing	interfectio
a killing	interfectio-onis
a kind of	quaedam
a kind of	quedam
a kind of	quidam
a kind of crab	caris
a kiss	basiatio
a kiss	basium
a knight's service	lorica
a lamenter	plorator
a large concourse, population, numerous assembly	frequentia
a large number	vis
a large part	plerusque
a laurel branch, crown of laurel / victory	laureola
a leather bag, purse, bellows, puffed-out cheeks	follis
a line limiting a field by agrimensores	cardo
a little	aliquantulus
a little box, casket	pyus  pyxidis
a little knife	cultellus
a little lip /a small washing vessel	labellum
a little or small work, a small book	opusculus
a little slow	lentulus
a little work	opusculus
a loan	mutuus
a long time ago	diu
a long while	diu
a long while ago	dudum
a lot	multus plus plurimum
a lying down, rest	cubitus
a mare	equa
a mask	oris
a mask	os
a meeting	occursus
a meeting, association	congressus
a mimic	ethologus
a miracle play	miracula
a moment, crisis	articulus
a movement inland / milit. marching inland	escensio
a nap	intervigilium
a nap, a doze, forty winks	intervigilium
a natural science	physiologus
a new thing	novus
a nobleman	patricius
a nod, command, will / gravitation	nutus
a nodding, nod, command, will	nutus
a painter's brush, pencil, stylus	penicullus
a pair	iugum
a penitent	penitens
a period of three days	triduum
a pike, pale /a stylus for writing /writing	stilus
a pimple	papula
a pit, trap for game, pitfall	fovea
a plain	campester
a plant blight	uredo
a plant, Christ's thorn	paliurus
a plow with wheels	currus
a point	punctum
a pot or jar	orca
a pound's weight /weight, mass, load /heavy body	pondus
a pouring form, effusion, exhilaration	effusio
a predecessor	decessor
a prick	punctum
a prick, little hole, puncture /a point, spot	punctum
a private person	privatus
a projection	prominens
a promise	pollicitus
a promise	promissio
a promiser	promissor
a promiser, suretor, guarantor	promissor
a public building for law cases	basilica
a purchase	emptio
a quiver	pharetra
a race	cursus
a race, a running, race course, race track	cursus
a rash	scabies
a rattle	crepitaculum
a reader	legens
a relation in the male line	agnatus
a resting place	quies
a result of something	orior
a retreat, withdrawal / departure	decessio
a ribbon	lemiscus
a rival	subnuba
a rod to beat children with	ferula
a royal circuit	progressus
a running	cursus
a running down	decursus
a running down / charge, manoeuver	decursus
a running, race, lap around the track, course	curriculum
a saying	dictus
a saying, a speech	dictus dictus
a scream, cry, shriek	quiritatio
a second time	denuo
a second time	iterum
a selection / chosen body / legion	legio
a servant	famulus
a shaking	quassatio
a sharp point, edge, dagger point	mucro
a shock	perculsus
a shower is falling	pluit
a shower is falling	pluvit
a siege engine	trebuchettum
a sin	piaculum
a single hair	pilus
a single hair /a trifle	pilus
a single head of cattle	pecus
a single head of sheep	pecus
a single time, for the first time, even once	semel
a slave	venalis
a slight stain, minor disgrace	labecula
a slipping or sliding	prolapsio
a slope, decline	declive
a small bed, cot	lectulus
a small book	opusculus
a small oven	fornacula
a small property	peculium
a small staff	bacillum
a small washing vessel	labellum
a small work	opusculus
a solemn statement, oracle, prophecy	oraculum
a sort of	quasi
a source of profit	quaestus
a source of profit	questus
a space	patulum
a spade, shovel	rutila
a speaking against, contradiction	contradictio
a spear	curis  quris
a spear	quiris
a speech	dictus
a spendthrift, bankrupt	decoctor
a sponge, brush	peniculus
a square	quadratus
a square	quadrum
a stake, pole	asser
a stink	foetor
a stylus for writing	stilus
a summing up	coadunatio
a taking away	ademptio
a team of oxen	iugum
a tearing, mangling	laceratio
a tearing, ripping, mangling, mutilating	laniatus
a temple or church with the land around it	fanum
a temple with the land around it	fanum
a thin rope, cord, string	funiculus
a thing	quedam
a thing	quidam
a thousand	mille
a thousand times	millies milies
a timber	traba
a touch, contact	contages
a toy	crepundia
a toy, rattle, plaything	crepundia
a trap	dolus
a trebuchet	trebuchettum
a tree branch (especially olive)	termes
a trifle	pilus
a twelfth	uncia
a twelfth, an ounce	uncia
a type of olive	orchas
a uniting	coadunatio
a vessel for drinking	calix
a victim	piaculum
a victim, sacrifice, atonement, punishment /a sin	piaculum
a vineyard planted with trees	arbustum
a wandering, straying	erratio
a web, that which is woven, cloth, tissue	tela
a weighing out / paying, payment	pensio
a wheel rut	orbita
a widening, expansion / rest, respite	laxamentum
a wise man, philosopher	sapiens
a workhouse for slaves	ergastulum
a wrinkle	ruga
a written reply, answering letter	responsiva
a yard	cohors
a yard, enclosure /troop	cohors
aback	deprehensus
abacus	abacus
abacuses	abaci
abaft	in puppi
abandon	derelinquere
abandon	derelinquo
abandon	desero
abandon	destituo
abandon	dimitto
abandon	prodo
abandon	proicio
abandon	relinquere
abandon	relinquo
abandoned	desertus
abandoned	desolo
abandoned	perditus
abandonee	desertus
abandonee	perditus
abandoner	desertor
abandoner	desertoris
abandoning	deserens
abandonment	destitutio
abandonment	destitutionis
abandonments	destitutiones
abandons	deserit
abandons	destituit
abandons	relinquit
abase	deminuere
abase	deprimere
abase	humilio
abase oneself	provolvere se
