a	et
a few	noen få
a lot	mye
aback	bakk
abacus	kuleramme
abash	gjøre skamfull
abate, diminish	forminske
abbess	abbedisse
abbey	abbedi
abbot	abbed
abdicate	frasi seg
abdication	frasigelse
abdomen, belly, stomach, tummy	mave
abdomen, belly, tummy	buk
abduct	bortføre
abduct	kidnappe
abduction	bortføring
abduction	kidnapping
abductor	bortfører
abductor	kidnapper
aberration, deviation, departure	avvik
aberration, illusion	villfarelse
abet, aid, assist, help	hjelpe
abhorrence, loathing	vemmelse
abide	avvente
abide	holde fast ved
ability, capability	dyktighet
abject	ynke
able to	i stand til
ablebodied	arbeidsfør
abnormality	abnormitet
aboard	om bord
abolish	avskaffe
abomination	avskyelighet
aboriginal	opprinnelig
aborigines	urinnbyggere
abort	abortere
abortion	abort
abortion	misfoster
abortive	mislykket
about	circa
about	i nærheten
about	omkring
about	omtrent
about, if, in	om
abrasive	selvheftende
abridge	sammendra
abridge, abbreviate	forkorte
abridgement, abbreviation	forkortelse
abridgement, excerpt, extract	utdrag
abroad	utenlands
abrupt	plutselig
abrupt, bluff	bratt
abscess	byll
abscess, tumor, tumour, growth	svulst
abscond	stikke av
absence	fravær
absent	fraværende
absent minded	distrè
abundance	rikelig
abuse	misbruk
abuse	misbruke
abuse	skjelle ut
academic	akademiker
academic	akademisk
accede to	etterkomme
accede to, accommodate, cater	imøtekomme
accelerator	akselerator
accelerator pedal	gasspedal
accent	aksent
accent	uttale
accentuate	betone
accentuate	fremheve
accentuation	aksentuering
accentuation	betoning
accept	ta imot
acceptable	akseptabelt
acceptance	godtagelse
accepted	godkjent
accepted	godtatt
acceptor	akseptant
accession	tilgang
accession	tiltredelse
accessories, fittings	tilbehør
accessory	medskyldig
accessory, extra	ekstra
accommodate, adapt, conform	tilpasse
accomplish	fullføre
accord	innvilge
accord, compliance, compatibility	samsvar
accordance	overensstemmelse
according to	ifølge
accordingly, hence	følgelig
accordion	trekkspill
account	konto
accumulate	hope seg opp
accumulate, gather	samle
accuracy, exactness	nøyaktighet
ache	verke
acid	syre
acquaint	gjøre kjent
acquaintance	bekjentskap
acquisition	ervervelse
acquit	frikjenne
across, on the other side of	tvers over
activity	aktivitet
actor	skuespiller
actual, factual	virkelig
ad, advertisement	annonse
adamant	steinhard
adamant, inflexible	ubøyelig
adapt	bearbeide
add	legge til
addict, addicted	avhengig
addictive	avhengighetsskapende
address	adresse
adieu	adjø
adjacent	tilstøtende
adjust	instille
adjustment	instilling
administer	forvalte
administer, direct, govern	styre
administration	forvaltning
admire	beundre
admissible	tillatelig
admission, allowance	innrømmelse
admission, entry, entrance, access	adgang
admonish	påminne
admonish, exhort	formane
adolescent	halvvoksen
adorable	bedårende
adroit	behendig
adult, grown-up	voksen
adulter, adultress	ekteskapsbryter
advantage	fordel
adventure	opplevelse
adversary	motstander
advertise	kunngjøre
advertise	reklamere
aerial	luftig
aeroplane, plane, airplane	fly
affair	affære
affair, issue	sak
affect	berøre
affect, influence	påvirke
affiliate	knytte til
affirm, insure	forsikre
afflict	bedrøve
affliction	lidelse
affliction	prøvelse
affluence, influx	tilstrømning
afoot	til fots
afraid, coy, timid	sjenert
aft, abaft	akter
after, behind, subsequently, afterwards, next	bak
after, from	etter
afternoon	ettermiddag
age	alder
agency	agentur
agency	virksomhet
agglomerate	klumpe seg
aggravate	forverre
aggression	aggresjon
air	luft
air-mail	luftpost
airport	lufthavn
airport, airfield	flyplass
ale, beer	øl
all over again, again, once more, anew	igjen
all over again, anew, once more, again	pånytt
allow	tillate
allow, grant	innrømme
allowance	rasjon
allowance, discount	rabatt
almost, nearly	nesten
alone, solitary, sole, only	alene
also, too	også
altogether	aldeles
altogether	alt i alt
