 (oK) phoenix bird	fushichou
 (oK) to be plugged up (vi)	fusagaru
"all is flux, nothing stays still" (Heraclitus)	banbutsuruten
"as above" mark	doujou
"backbone"	iji
"behind closed doors"	misshitsude
"best ten"	besutoten
"bridge building"	hashiwatashi
"classic life"	kurashikkuraifu
"collectomania"	korekutomania
"connection" (abbr)	kone
"cool"	kakkoii
"cool"	kakkouii
"cool"	kakkounoii
"cool"	shibui
"Critique of Pure Reason" (Kant)	jissenriseihihan
"customer puller"	kyakuhiki
"flowers & birds"	kachou
"gentleman" who escorts a woman home, only to make a pass at her	okuriookami
"grass" kanji	sousho
"hundreds" column	miketa
"in"	nau
"iron curtain"	kyousanken
"it" (i.e., in a game of tag)	oni
"kanji" zero	kansuujizero
"key money"	reikin
"kicking upstairs"	keien
"killing" (loving) words (id)	koroshimonku
"milk tea"	mirukuti
"my pace"	maipe-su
"no touch"	no-tacchi
"No. 2"	nigousan
"once upon a time"	mukashimukashi
"ones" column	hitoketa
"private party"	yasumichuu
"pull"	kone
"pull"	tsute
"snow-burn"	yukiyake
"solving" a problem by ignoring it (id)	kusaimononifuta
"spaceman" clay figurine from about 500 AD	shakoukidoguu
"ten thousands" column	goketa
"tens" column	futaketa
"tent" an erection makes against pants or bedsheets (vs)	mokkori
"the water trade"	mizushoubai
"thousands" column	yoketa
"to make it mine" (id)	mononisuru
"true" adjective	keiyoushi
"uncool"	kakkounowarui
"uncool"	kakkouwarui
"We, the emperor, .."	chin'omouni
"white day"	howaitodei
"with the author's compliments"	kintei
"you are here" (on map)	genzaichi
# sign	sha-pu
#1	daiichi
#606	roppyakurokugou
(a building) soars high	tenwomasuru
(a kind of plant)	ogi
(a measure of volume) 18 litres	to
(a priest's) secular surname	zokusei
(a) bully	ijimekko
(a) delight	yorokobi
(a) disgrace	kutsujoku
(a) joy	yorokobi
(a) lure	yuuwakumono
(a) measure	yakusuu
(a) relish	tsumamimono
(a) request	koi
(a) voice	issei
(a) writer	chojutsuka
(abbr) musical program	enkyoku
(abbr.) one whose livelyhood is provided by part-time work	furi-ta-
(academic) excellence	yuutou
(ai: rakko)	rakko
(air) bubble (esp. in a liquid)	kihou
(aircraft) hangar	kakunouko
(all) are able to get in	irikireru
(an expert) in the making	tamago
(an old word for) a Japanese	wajin
(an) instructor	shihan
(an) intermediate (chem)	chuukantai
(ancient) Chinese higher civil service examinations	kakyo
(ancient) comma-shaped jewels	magatama
(ancient) governor	sochi
(ancient) governor	sotsu
(ancient) Kyushu	dazaifu
(ancient) military leader's fan	gunbai
(ancient) shell money	baika
(angry) ghost	mononoke
(animal) feed	esa
(animal) offspring	shi
(animal) pen	koya
(annual) staff reassignment	jinjiidou
(aquarium) water-plants	mogusa
(arch) in spite of	kakawarazu
(arch) last week	zenshuu
(arch) new shoots	ure
(arch) top end	ura
(arch. reading) combination	gouhei
(arch. reading) equilibrium	narashi
(arch.) to enlighten	hiraku
(arch?) to turn red	akaramu
(army) division	shidan
(army) engineer	shisetsu
(army) nurse	kango
(army) provisions	hyourou
(army) provisions (oK)	hyourou
(article of) folk craft	mingeihin
(at the) window	madogiwa
(at) high speed (oK)	dattonogotoku
(at) one bound	ichiyaku
(at) one bound	issokutobi
(atmos.) depression	kouka
(attorney's) right of representation	dairiken
(audio) recording (vs)	rokuon
(author) selection	jisen
(aux verb) to have a touch of	jimiru
(aux. verb) to start doing something (but not finish)	kakeru
(bad) habit	shuuheki
(baggage) checking	ichijiazukari
(baggage) checking	ichijiazuke
(balance) scales	tenbin
(ballistic) missile	dandoudan
(bamboo) fencing stick	shinai
(bamboo) hat	kasa
(bank) balance	zandaka
(bank) savings (vs)	chokin
(bargain) sale	uridashi
(baseball) catch	hokyuu
(baseball) infield	naiya
(baseball) passed ball	hoitsu
(baseball) pitcher	toushu
(battery) charger	juudenki
(beef) scraps	kiridashi
(bicycle) luggage carrier	nidai
(bind) firmly	ganjigarameni
(bind) firmly	ganjigaramini
(board) screen	mekakushi
(bodily) urge	moyooshi
(book) illustration	sashie
(bread) crumb	pankuzu
(breast) pocket	futokoro
(British) Commonwealth of Nations	eirenpou
(brother & sister) born of a different mother	harachigai
(Budd.) pilgrim's song	eika
(Buddhist priest's) stole	kesa
(Buddhist) goddess	kichijouten
(Buddhist) goddess	kisshouten
(Buddhist) image	sontai
(Buddhist) incarnation	keshin
(Buddhist) inquirer	guhousha
(Buddhist) perfect enlightenment	shougaku
(Buddhist) prayer and austerities	shuuhou
(Buddhist) priest	souryo
(Buddhist) priesthood	souseki
(Buddhist) priesthood	soushoku
(Buddhist) priests	souto
(Buddhist) rosary	juzu
(building) destruction by fire	enjou
(bulk) drug substance	gen'yaku
(bureau, post-office) staff	kyokuin
(by) chance (a-no)	guuzen
(camera) bellows	jabara
(camera) filter	firuta-
(cannot) possibly	toutei
(car) wheel	sharin
(Catholic) deacon	josai
(Catholic) liturgy	tenrei
(Catholic) mass (la: missa)	misa
(Catholic) neophyte	shuurensha
(Catholic) nun	doutei
(Catholic) nun	shuudoujo
(Catholic) order	shuudoukai
(Catholic) tradition	seiden
(celebration) banquet	shukuen
(ceremonious) exchange of engagement gifts (vs)	yuinou
(certified public) accountant	kaikeishi
(charge) for this month	kongetsubun
(chemical) compound	kagoubutsu
(chemical) extraction	shinshutsu
(chemical) reactivity	hannousei
(chemically) inert (a-no)	fukasseino
(child's) hug (vs)	dakko
(child)birth	shussan
(children's term for) fish	toto
(Chinese) restaurant	hanten
(Chinese) wood oil	touyu
(Christmas) tree	tsuri-
(coat) hanger	hanga-
(coin) mint	zouheikyoku
(col) Can I lend a hand?	tewokashimashouka
(college) president	souchou
(come to) nothing	dainashi
(common) soldier	heisotsu
(Communist) sympathizer	shinpa
(computer file) paste	haritsuke
(computer) "diff"	sabun
(computer) bug	bagu
(computer) command	komando
(computer) console	konso-ru
(computer) display	disupure-
(computer) editor	edita-
(computer) format	fo-matto
(computer) human interface	hyu-man'intafe-su
(computer) initial	shoki
(computer) master station	oyakyoku
(computer) monitor	monita-
(computer) object	santai
(computer) password	pasuwa-do
(computer) peripheral	shuuhen
(computer) process	santei
(computer) program	sanpu
(computer) prompt	puronputo
(computer) pushbutton	oshibotan
(computer) regular expression	seikihyougen
(computer) slave station	kokyoku
(computer) system bus	shisutemubasu
(concrete) iron reinforcing bar	tekkin
(Confucian) temple	seidou
(country) home	sato
(cow's) milk	gyuunyuu
(CPU) interrupt	warikomi
(criminal) investigation headquarter	sousahonbu
(cultural) exchange	kouryuu
(death by) hanging	shibarikubi
(deep) thinking	kangaegoto
(degree of) freshness	sendo
(department) store(s)	hyakkaten
(diffraction) grating	kaisetsukoushi
(direct) hit	meichuudan
(disease) carrier	hokinsha
(disease) settling in internal organs	naikou
(divine) Providence	setsuri
(divine) punishment	bachi
(divine) revelation	tenkei
(doctor's) white gown	hakui
(doctrine of) anarchism	museifushugi
(dog) owner	kainushi
(domestic) chicken	niwatori
(drunken) brawl	kenka
(during) month	gekkan
(early) Japanese Christianity	kirishitan
(earthenware) mortar (for grinding)	suribachi
(edible) snail (fr: escargot)	esukarugo
(Edo period) silver mint	ginza
(electric) iron	airon
(electric) light	denki
(electric) relay	keidenki
(electric) relay	nakatsugi
(electrical circuit) substrate	kairokiban
(electrical) contact	setten
(electrical) ground	a-su
(electricity) comes on	tsuku
(electronic) element	denshisoshi
(emphatic modifier)	tadatada
(encouragement of) industry	kangyou
(engine) distributor cap	desubikyappu
(enrolled) in school	zaigaku
(equal) difference	tousa
(euph.) free-loader	isourou
(euph.) free-loader	shokkaku
(euph.) free-loader	shokkyaku
(Euroasian) badger (Meles meles) (sametimes called a raccoon)	araiguma
(evening) twilight	yuugure
(examination) failure	fugoukaku
(executive) staff	kanbu
(explanatory) notes	chuukai
(eye)witness (vs)	mokugeki
(facial) tissues	tisshu-
(factory) worker	shokkou
(fall of) frost	kousou
(family) corporation	hozenkai
(family) corporation	hozenkaisha
(farmers') rice deliveries	kyoushutsumai
(female) beauty	kajin
(female) genitalia	inmon
(female) nurse	kangofu
(fencing) master	tsukaite
(fencing) teacher	shihan
(festivity) page	chigo
(field) marshal	gensui
(fighter's) letter of challenge	hatashijou
(file) save as	shinkihokan
(financial) audit	kaikeikansa
(finger) ring	yubiwa
(fish) climbing (swimming) up waterfall	takinobori
(fish) weir	yana
(five minutes) to	mae
(flash of) lightning	inabikari
(flash of) lightning	inadzuma
(fleet) admiral	gensui
(flight of) stone steps	ishidan
(flower) vase	kabin
(foot) race	kakekko
(for a) long time	nagaraku
(former) Soviet Union	soren
(former) West Germany	doitsurenpoukyouwakoku
(ftp or WWW) mirror site	mira-saito
(gang's) moral code	jingi
(gikun) rural	inaka
(giving) birth	osan
(go board) field	gobannome
(god of) death	shinigami
(going) side by side (vs)	heikou
(golden) mean	chuuyou
(good or bad) feel when wearing something	kigokochi
(government) ministry	naikaku
(government) secretary	choukan
(grain) husk	gaihi
(gram) complement	hogo
