a lot of, much	ingi
a, in, inside, into, per, within	katika
a, in, inside, into, per, within	ndani ya
aberration, error, mistake	kosa
able, capable	enye akili
above, on top, overhead, upstairs	juu
abrasive, lurid, sharp, hot	kali
abroad	ugenini
abroad, out, outside	nje
absent	hako
absolute, complete	kamili
Abyssinia, Ethiopia	Habeshi
accede, agree, consent	kubali
accept, receive, take, take in	pokea
accident	tukio baya
accompany	kwenda na
account, number, numeral	hesabu
across from, against, in exchange for, opposed to	juu ya
action	tendo
actor	mcheza
ad, advertisement	tangazo
address	anwani
adieu, farewell, bye, goodbye, good-bye	kwa heri
adieu, farewell, bye, goodbye, good-bye	kwa herini
ado, din, noise	kelele
advice, counsel, design, diagram, plan, plane	shauri
affair, business, business deal, case, matter	jambo
after	baada ya
afternoon	alasiri
again, all over again, anew, once more	tena
age	umri
ahead, formerly, previously, foreward	mbele
air	hewa
ale, beer	pombe
alien, foreign, strange	a kigeni
all of a sudden, suddenly	ghafula
all, each, every, everyone	kila
all, each, every, everyone	ote
also, too, equally	pia
always	sikuzote
American, US citizen	mwamerikani
among, between	kati ya
and	na
angel	malaika
animal, beast	mnyama
answer, reply	jibu
antelope	paa
ape, monkey	tumbili
appellation, name	jina
apple	tunda la kizungu
April	Aprili
Arab	Mwarabu
Arabia	Uarabu
Arabia	Ulaya wa Waarabu
arm, hand	mkono
article of clothing, garment, clothes	nguo
ass, donkey	punda
at all, entirely, wholly	kabisa
at all, ever	o -ote
at once, right away, right now	sasa hivi
at present, now	sasa
axe	shoka
baboon	nyani
bad, miserable, nasty, poor	baya
bad, rotten	bovu
badly	vibaya
bag, sack	gunia
bag, sack	mfuko
banana	ndizi
banana plant, banana-plant	mgomba
bank	benki
bark, husk, peel, shell	ganda
basket	kikapu
bazaar, fair, market, marketplace	soko
bear	dubu
beard	ndevu
beautiful, fine, handsome, lovely, good, nice	zuri
because, for the reason that, since	kwa sababu
bed	kitanda
bee	nyuki
before, in front of	kabla ya
before, in front of	mbele ya
behind	nyuma
behind, after	nyuma ya
below, beneath, under	chini ya
below, downstairs, underneath	chini
Bible	Biblia
big, great, large, important, serious	kubwa
bike, cycle, bicycle	baisikeli
bird	ndege
bird	nyuni
bitter	chungu
black	eusi
blackness	weusi
blank, white	eupe
blind, sightless person	kipofu
blood	damu
bloom, flower, court, yard, courtyard	ua
board, plank	ubao
body	mwili
bold, corpulent, fat, thick	nene
bold, corpulent, fat, thick	nono
bone	mfupa
book	kitabu
bosom, breast, chest	kifua
boss, chief, leader	jumbe
boss, master	bwana
bottle	chupa
boutique, shop, store	duka
bovine, bovine animal	ng'ombe
box	sanduku
boy, servant	mtumishi
brave, courageous, valiant	hodari
bread, loaf	mkate
broad	pana
broom	ufagio
brother	kaka
brother, relative	ndugu
buffalo	nyati
bug, insect	mdudu
bull	ng'ombe dume
burden, charge, load	mzigo
burdensome, heavy, onerous	zito
bureau, office	afisi
but, however, nevertheless, yet	bali
but, however, nevertheless, yet	lakini
butter	siagi
cabin, hut, shack	kibanda
camel	ngamia
carpenter	seremala
cassava, cassave	muhogo
cat	paka
centipede	tandu
certificate, testimony	cheti
chair	kiti
chamber, room	chumba
cheese	jibini
chicken, fowl	kuku
chief, main, major, principal	kuu
child, infant	mtoto
Christian	Mkristo
church, kirk	kanisa
city, town, village	mji
clean, pure	safi
clerk	karani
clever, cunning, sly, smart	erevu
clock, watch, hour, o'clock, time	saa
cloth	kitambaa
coast, seaside, shore	pwani
cock, rooster	jogoo
cocoanut, cocoa-nut, coconut, coco-nut	dafu
cocoanut, cocoa-nut, coconut, coco-nut	nazi
coconut palm, coconut-palm	mnazi
coffee	kahawa
cold	baridi
colour, dye	rangi
cook, male cook	mpishi
cooking pot, jug	chungu
cord, rope, string	uzi
cork	kizibo
corn, Indian corn, maize, mealies	muhindi
correct, right	sahihi
country, land	nchi
country, land	ulaya
course, dish, platter	sahani
cover, hood, lid	kifuniko
crab	kaa ya pwani
crocodile	mamba
cross	msalaba
cup	kikombe
currently, nowadays, these days	siku hizi
custom, habit, way	desturi
danger, peril	hatari
dark, dim	enye giza
darkness, murk	giza
date	tarehe
date palm, date-palm	mtende
daughter	binti
day	siku
dear, expensive, lovely, valuable, costly, pricey	ghali
December	Desemba
diminutive, little, small	dogo
disease, illness	ugonjwa
dismal, gaunt, miserable, sad	a huzuni
distance, offset, journey, trip, voyage	mwendo
doctor, physician	daktari
doctor, physician	mganga
dog	mbwa
dream	ndoto
drug, medicine, pharmaceutical	dawa
dry	kavu
dung, excrement, latrine	choo
ear	sikio
early	mapema
earth, land, soil	kiwanja
east, East	mashariki
Easter	Pasaka
easy, facile, cheap, inexpensive	rahisi
egg	yai
Egypt	Misri
eighteen	kumi na -nane
eighteen	kumi na nane
eighth	a nane
eighty	themanini
elephant	ndovu
elephant	tembo
eleven	edashara
eleven	kumi na -moja
eleven	kumi na moja
empty, void	tupu
enchanter, magician, sorcerer, warlock, wizard	mchawi
enchantment, magic, sorcery, witchcraft, wizardry	uchawi
end, ending	mwisho
enemy	adui
engine, machine	mashine
engine, machine	mtambo
England	Uingereza
England	Ulaya wa Waingereza
Englishman, Sassenach	Mwingereza
enough, sufficient	a kutosha
entire, overall, whole	zima
Europe	Ulaya
European	Mzungu
evening	jioni
exclusively, just, only, alone, solely	tu
eye	jicho
face	uso
factory	karakana
factory	kiwanda
faint, light, weak, miserable, poor	hafifu
father	baba
fear	hofu
February	Februari
fellow, man	mwanamume
fever	homa
field	shamba
fifteen	kumi na -tano
fifteen	kumi na tano
fifth	a tano
fifty	hamsini
fine, great, eminent	bora
finger, toe	kidole
finished, ready, through	tayari
fire	moto
first	a kwanza
fish	kuvua
fish	samaki
flour, meal	unga
fly, housefly	inzi
folk, nation, people	watu
food	chakula
fool	mjinga
for, to, in order to	ili
foreigner, stranger, guest	mgeni
forest, woods	msitu
forgetful	sahaulifu
forty	arobaini
fourteen	kumi na -nne
fourteen	kumi na nne
fourth	a nne
fragment, lump, piece, part, share, spare part	kipande
France	Ufaransa
France	Ulaya Faransa
Frenchman	Mfaransa
frequently, often, regularly	mara nyingi
Friday	Ijumaa
friend	rafiki
frog	chura
from, out of	kwa
gain, profit	faida
game	mchezo
garage	banda la motokaa
garden	bustani
gate, gateway, portal, door	mlango
gazette, magazine, newspaper, periodical	gazeti
gentle, soft, sweet, tender	tamu
German	mdachi
German	mjeremani
Germany	Udachi
Germany	Ujeremani
giraffe	twiga
gladness, joy	furaha
gnu, wildebeest	kongoni
gnu, wildebeest	nyumbu
goat	mbuzi
God	Allah
God	Mungu
good, nice, okay	ema
grass	majani
Greek	Myunani
greeting	salamu
ground, soil	udongo
guard	mlinzi
hair	nywele
hard	gumu
hare	sungura
harvest	mavuno
have, have got	na
he, him	yeye
head, pate	kichwa
health	afya
heart	moyo
Hebrew, Jew	Myahudi
Hebrew, Jew	Yahudi
help, aid	msaada
here	hapa
here	huku
here	humu
hey, say, now, well, well then	je
hill	kilima
hill, mountain	mlima
hippo, hippopotamus	kiboko
hoe	jembe
hole	tundu
honey	asali
horse	farasi
hot	a moto
hotel	hoteli
house	nyumba
how many?, how much?	ngapi?
how?, in what way?	je?
how?, in what way?	namna gani?
hundred, one hundred	mia
hunger	njaa
husband	mume
hyaena, hyena	fisi
I, me	mimi
if, provided that	ikiwa
ill, sick	gonjwa
India	Bara Hindi
India	Uhindi
Indian	Mhindi
inhabitant	mwenyeji
ink	wino
inside	ndani
instead of	badala ya
instructor, teacher	mwalimu
iron	chuma
island	kisiwa
jackal	mbweha
January	Januari
job, work	kazi
