a body	en kropp
a body, decay, rot	ruttna
a few	några få
a good deal	åtskilligt
a little more	litet till
a long string of	en lång rad av
a lot of, very, much, lot	mycket
A minor	a-minor
a posteriori	a posteriori
a road	huvudväg
a, an	ett
a, juniper (tree), an, one	en
A-bomb	atombomb
A-student	topp elev
A.D.	e.Kr
aardvark	jordsvin
aaron	aron
Aaron's rod, mullein	kungsljus
abacus	kulram
abandoned	övergivna
abandoned, orphane, forsaken, forlorn, derelict	övergiven
abandonment	uppgivenhet
abandons	överger
abash, trouble, inconvenience, embarrass	genera
abatis	förhuggning
abattoir	slakthus
abbacy	abbotsämbete
abbess	abbedissa
abbot	abbot
abbreviations	förkortningar
abbreviatory	förkortnings
abdicate	abdikera
abdicate, abnegate, renounce	avsäga sig
abdomen	underliv
abdomen, paunch, abdominal	buk
abdominous	med stor mage
abduct	bortföra
abduction	rövande bort
abductor	kidnappare
abeam	tvärs
abed	till sängs
abele	silver poppel
aberdevine	grönsiska
Aberdonian	Aberdeen
aberrant	som far vilse
aberration, delusion, deception, fallacy, error	villfarelse
abet, foment	underblåsa
abetment	medhjälp
abhorance, horror, terror	fasa
abide, wait, expect, wait for	vänta
abiding, existing, consisting, lasting value	bestående
abiding, lasting, durable	varaktig
abilities	själsgåvor
ability, faculty, capacity	förmåga
ability, possibility, chanse, capability	möjlighet
abiogenesis	uralstring
abject	föraktlig
abjection	uselhet
abjuration	avsvärjelse
abjure	avsvärja
ablactation	avvänjning
ablation, removing, deleting	borttagande
ablative	ablativ
ablaut	avljud
ablaze	i lågor
able seaman, sailor, seaman	matros
able, deft, adept, skillful, clever, ably, skilled	skicklig
able-bodied	arbetsför
abled	möjlig gjord
abloom	i blom
ablution	tvätta sig
ablutions	tvagning
ably	duktigt
ably	kunnigt
abnegation	förnekelse
abnorm	abnormal
abnormal	abnorm
abnormal	onormal
abnormally	onormalt
abnormity, abnormality, freak	abnormitet
abode	hemvist
aboil	kokande
abolish, abrogate	avskaffa
abolished	avskaffad
abolition	avskaffande
abomasum	löpmage
abomination, execration, abominate, abhorance	avsky
abondant, ample, abudant, plentiful, lavish	ymnig
aborigine, aborginal	urinvånare
aborted	avbrutits
abortifacient	abortframkallande
abortifacient	abortivmedel
abortion	abort
abortionist	abortör
abortive	misslyckad
abound	flöda över av
about	ungefär
about doogs	om hundar
aboutface, U-turn, about-turn	helomvändning
above	ovanför
above, unaccustomed	ovan
above, upstairs, up	uppe
aboveboard	ärligt
aboveboard, roundly, openly	öppet
abovementioned	ovannämnd
abracadabra	abrakadabra
abrade	abradera
abrade	skava(nöta)av
abrading	avnötning
abranchiate	utan gälar
abrasion	avskavning
abrasion	slitning
abreact	avreagera
abreaction	avreagering
abreast	jämsides
abridgment, abridgement, abbreviation	förkortning
abroad	utlandet
abroad, foreign	utrikes
abroad, overseas	utomlands
abrupt, abruptly	abrupt
abrupt, blunt, square	tvär
abscess	abscess
abscond, run away, escape	rymma
absent-minded	disträ
absent-minded	tankspridd
absenteeism	skolk
absently, absentee, absent	frånvarande
absinth	absint
absinth	malört
absolution, acquittal	frikännande
absolutism	envälde
absorb, affiliate	uppta
absorbed	fördjupad
absorbed	ingick i
absorbent, absorbing	absorberande
absorption	absorbering
abstainer, teetotaller	absolutist
abstemious, continent	återhållsam
abstention, abstinence	röstnedläggelse
abstinence	abstinens
abstract	abstrakt
abstraction	abstraktion
absurd	absurd
absurdity	orimlighet
absurdness	absurditet
abundance, opulence, exuberance, plenitude	överflöd
abundance, profusion	ymnighet
abuse, misuse	missbruk
abuse, railing, invective, scolding	ovett
abuse, vituperate, blaspheme, calumniate, revile	smäda
abused	missbrukat
abut	gränsa intill
abysmal	avgrundsdjup
abysmal	bottenlös
abyss	avgrund
abyss, chasm, throat	svalg
Abyssinia	Abessinien
Abyssinian	abessinier
acacia	akacia
academic, academical	akademisk
academically	akademiskt
academician	akademimedlem
academician, university graduate	akademiker
academy	akademi
accede	biträda
accede	tillträda
accede to	tillmötesgå
accelerate	accelerera
accelerated	accelererad
accelerates	accelererar
accelerating	accelererande
acceleration	acceleration
accelerator	gaspedal
accent, accentuation	betoning
accent, intonation	tonfall
accent, stress, stress-mark	accent
accented	betonade
accentuate, accentutate	accentuera
accentutate, accentuate, stress	betona
accept	acceptera
accept	antaga
accept	godtaga
accept, receive	anamma
acceptability	godtagbarhet
acceptable	acceptabelt
acceptable	godtagbart
acceptance	accept
acceptance	accepterande
acceptant	acceptor
accepted	accepterad
acceptera	accepting
accepting, accepts	accepterar
acceptor	acceptant
access time	åtkomsttid
accessary, accomplice	medbrottsling
accessed	åtkomliga
accessor	åtföljande
accidence	formlära
accident, disaster	olyckshändelse
accidentally, by chance	händelsevis
accidents	olyckor
acclaim	hälsa såsom
acclamation	bifallsrop
accolade	dubba till riddare
accommodate, acclimatize, conform, adapt	anpassa
accommodated	anpassad
accommodates	anpassar
accommodating	tillmötesgående
accompan	beledsaga
accompaniment	ackompanjemang
accompanist	ackompanjatör
accompany	ackompanjera
accompany	medfölja
accompany	åtfölja
accompany, ensue, follow	följa
accompanying	tillhörande
accomplish, consummate	fullborda
accomplish, export, perform	utföra
accomplished	presterade
accomplishment	prestation
accord, concede	medge
accordance	enlighet
accorded	beviljade
according to	enligt
account	mellanhavande
account	räkenskap
accountability	ansvarighet
accountable	förklarlig
accountancy, accounting, bookkeeping	bokföring
accountant	kamrer
accountant, auditor	revisor
accounts	handelsräkning
accredit	befullmäktiga
accredit to	ackreditera
accretion, recession	tillväxt
accrual	periodisering
accrue	tillfalla
accrue	växa till
accueded	instämmande
accumulate, congregate	hopsamla
accumulative	ackumulerad
accumulator	ackumulator
accupational therapist	arbetsterapeut
accuracy	noggrannhet
accurate	ackurat
accurate, substantially	verkligt
accusative	ackusativ
accuse of	anklaga för
accuse of, blame	skylla på
accuse somebody of	anklaga någon
accused	anklagad
accuses	anklagar
accustomed to	van vid
accysation	beskyllning
aceess	etta
aces, ace	äss
acetate	acetat
acetic	ättikssyra
acetone	aceton
acetylene	acetylen
ache, ache	värka
ache, pain	värk
ached	värkte
aches	värker
achievable	utförbart
achieved	uppnått
achievement	prestantion
achievement, deed, action	gärning
achievements	kunnandet
achieves	uppnår
achilles	akilles
Achilles heel	akilleshäl
aching	värkande
acid	syra
acid, acidulous	syrlig
acidification	försurning
acidify	försura
acidity, acerbity	syrlighet
acknowledge, confess, avow, admit	erkänna
acknowledged	erkännt
acknowledgements	bekräftelser
acknowledges	erkänner
acknowledgment, acknowledgement	erkännande
acne	akne
acne, pimple	finne
acorn	ekollon
acoustic	akustisk
acoustics, accoustics, acoustical	akustik
acquaint	göra bekant med
acquaintanceship, acquaintance	bekantskap
acquiesce, agree, consent	samtycka
acquire	införskaffa
acquire, appropriate	tillägna sig
acquisition	anskaffningskostnad
acquisition	följning
acquisition	åtkomst
acquisitions, acquirement	förvärvande
acquisitive	förvärvslysten
acquisitiveness	habegär
acquit	fritaga
acquit	sköta sig bra
acquit, absolve	frikänna
acre	tunnland
acreage	areal
acridness	fränhet
acrimonious, bitter, acrid	bitter
acrimonious, caustic, pungent, acuate, keen, sharp	skarp
acrimony, acridity, bitterness	bitterhet
acrobat	akrobat
acrobatic	akrobatisk
acrobatics	akrobatik
acronym	akronym
acrylic	akrylfiber
acrylic fabric, acrylate	akryl
act of indemnity	amnestikungörelse
act, document	akt
act, play, act	agera
act, work	verka
acted	spelade
acting	spelsätt
acting	tillförordnad
action	aktion
actionable	åtalbar
actionable, action, acta, deed, document	handling
activate	aktivera
activated	aktiverad
activates	aktiverar
activating	aktiverande
activating, activity, efficacy	verksamhet
activations	verksamheter
active	aktiv
active, efficacious	verksam
actively	aktivt
activist	aktivist
activities	aktiviteter
activity	aktivitet
actor	aktör
actor	skådespelare
actress	aktris
actress	skådespelerska
acts	agerar
actua	själva
actuality (in)	i själva verket
acuity, acerbity, sting, severity, acrimony	skärpa
acumen, sagacity, acuity	skarpsinne
acupuncture	akupunktur
acute, acuate	akut
ad lib	improviserat
adage	tänkespråk
adage, proverb	ordspråk
adapt	adaptera
adapt	aptera
adapt to, adjust to	anpassa till
adapt, adjust	lämpa
adaptability	anpassningsförmåga
adaptable	anpassningsbar
adaptation	adaptation
adapted	anpassade
adapters	adaptrar
adaption	bearbetning
adaptor	adapter
add (up)	addera
add, sum up	summera
added, appended	adderad
adder, viper	huggorm
addict	narkotikaslav
addicted for	begiven på
addiction	begivenhet
addictive	beroendeframkallande
additional	extra
additional, further	ytterligare
additive, adjunct	tillsats
addon	tilläggsprogram
address	adress
address	adressera
address	utanskrift
address, direct	rikta
addressed	adresserat
addressee	adressat
addresses, addressees	adresser
adds	lägger till
adenoids	polyper
adequacy	tillräcklighet
adequate, sufficiently, enough	tillräckligt
adhere	stå fast vid
adhered	ansluten till
adherence	fastsittande vid
adheres	håller troget fast
adhesion	adhesion
adhesion	vidhäftningsförmåga
adhesive	fastnar
adieu, farewell, goodbye, valediction	farväl
adipose	fettvävnad
adjacent	intilliggande
adjecent	närgränsande
adjectival	adjektivisk
adjective	adjektiv
adjoin	stöta till
adjoining, adjacent, contiguous	angränsande
adjourn	ajournera
adjudge	tilldöma
adjudge	tillerkänna
adjudication	tilldömande
adjunct	komplement
adjust	jämka
adjust, adjust, configure	justera
adjust, regulate	rucka
adjustable	justerbar
adjusted	justerad
adjusting	justerande
adjustment	justering
adjustments	justeringar
adjusts	justerar
adlib	improvisera
adman	reklamman
admass	lättpåverkad masspublik
admin	administration
administer, manage, disscharge	förvalta
administrate	administrera
administration	handhavande
administrative	förvaltnings
administrator	administratör
administrators	administratörer
admiral	amiral
admiralty	amiralitet
admiration, admiration	beundran
admire	beundra
admirer	beundrare
admires	beundrar
admissible	tillåtlig
admission	antagning
admission board	antagningsnämd
admission fee, entrance	entré
admissions, accession, admittance, admission	tillträde
admit, grant	medgiva
admits	antagit
admittedly	erkänt
admittedly	obestridligen
admonitions	förmaningar
admonitory	förmanande
adolescence	uppväxttid
adolescent	tonårs
adolscent, youth, juvenility	ungdom
adominition, admonition	förmaning
adopt	adoptera
adopted	införda
adoption	adoptering
adorable	bedårande
adorable, admirable	beundransvärd
adoring	beundrande
adornment	prydande
adp-machines	adb-maskiner
adrenal gland	binjure
adriatic	adritatiska havet
adrift	på drift
ads	annonser
adulation	krypande smicker
adulatory	smickrande
adult, full-grown	fullvuxen
adulterer	äktenskapsbrytare
adulterous, illegitimacy	utomäktenskaplig
adultery	äktenskapsbrott
adulthood	mogen ålder
adults	vuxna
advance	anmarsch
advance	avancera
advance	förväg
advance-booking	förköp
advanced	avancerad
advancement, promotion, conveyance	befordran
advancing	antågande
advantage	försteg
advantage	övertag
advantage, benefited, benefit, boon	förmån
advantageous to	gynnsam för
advantageous, favourable, profitable	fördelaktig
advantages	fördelar
adventurer	äventyrare
adventuress	lycksökerska
adventurous, risky	äventyrlig
adverb	adverb
adversary	motspelare
adverse	som är rakt emot
adversity	motgång
advertise	annonsera
advertised	annonserade
advertisement	reklam
advertisement, advert, ad	annons
advertiser	annonsör
advertising	annonserande
advertising agency	annonsbyrå
advice against something	avråda
advice, advice-note	avi
advisable, wise	rådlig
advisedly	överlagt
adviser, mentor, counsellor	rådgivare
advocacy	befrämjande av
advocate	förespråkare
advocate	kämpa för
ae	amerikansk engelska
aerate	genomlufta
aerie, eyrie	rovfågels näste
aerie, eyrie	örnbo
aerobatics	konstflygning
aerobe	aerob
aerodrome	aerodrom
aerodrome, airfield	flygfält
aerodynamic	aerodynamisk
aerodynamics	aerodynamik
aerofoil	bärplan
aerofoil, wing	vinge
aerogram	radiotelegram
aerogrammes	aerogram
aeromechanics	aeromekanik
aeronaut, flyer, flier, airman, aviator	flygare
aeronautical	flyg-
aeronautics	flygkonst
aeroplane, airplane, aircraft, plane, craft, flyer	flygplan
aerosol	aerosol
aesthete	estet
aesthetic	estetisk
aesthetics	estetik
afar, distant, far away	fjärran
affect	beveka
affectation, gentillity	tillgjordhet
affected	konstlad
affection, fondness	tillgivenhet
affection, illness, complaint	åkomma
affectionately	tillgivet
affects	påverkar
affekt	emotion
affidavit	edlig skriftlig försäkran
affiliation, connect	ansluta
affirm, avouch, insure, assure	försäkra
affirmation, confirmation	bekräftelse
affirmative	jakande
afflicted	ansatt
afflicted	drövad
affliction	belastning
affliction	ycka
affluent	mycket rik
afford	ha råd (mrd)
afforestation	skogsodling
affront	chikan
affront	chikanera
affront, insult, offence	förolämpning
affront, insult, offend	förolämpa
aflame	i brand
aforementioned, aforesaid, aforenamed	förutnämnd
afraid of	rädd för
afresh	å nyo
afresh, anew	på nytt
African	afrikan
afrikaans	afrikaans
afro-asian	afroasiat
aft, abaft, astern	akter ut
after, behind, afterwards	efter
after-care	eftervård
after-dinner	middags-
after-effect	efterverkning
after-life	live efter detta
after-shave	rakvatten
after-taste	bismak
afterglow	efterglans
afterlife	livet efter detta
aftermath	efterdyningar
aftermath	efterräkning
afternoon	eftermiddag
afters, sweets, sweet, dessert	efterrätt
aftersail	aktersegel
aftersaloon	aktersalong
aftertaste	eftersmak
afterthought, more, further, furthermore, wider	vidare
afterwards	dan
afterwards	efteråt
afterwards	i efterhand
again	igen
against, back, re	åter
against, towards	emot
agape	med vidöppen mun
agaric	skivling
agate	agat
age	ålder
age-group	åldersgrupp
age-limit	åldersgräns
aged	i en ålder av
aged	ålderstigen
